district_th,district_en,zone
เขตพระนคร,Phra Nakhon,Central
เขตดุสิต,Dusit,Central
เขตหนองจอก,Nong Chok,Eastern
เขตบางรัก,Bang Rak,Central
เขตบางเขน,Bang Khen,Northern
เขตบางกะปิ,Bang Kapi,Eastern
เขตปทุมวัน,Pathum Wan,Central
เขตป้อมปราบศัตรูพ่าย,Pom Prap Sattru Phai,Central
เขตพระโขนง,Phra Khanong,Southern
เขตมีนบุรี,Min Buri,Eastern
เขตลาดกระบัง,Lat Krabang,Eastern
เขตยานนาวา,Yan Nawa,Southern
เขตสัมพันธวงศ์,Samphanthawong,Central
เขตพญาไท,Phaya Thai,Central
เขตธนบุรี,Thon Buri,Krung Thon Nua
เขตบางกอกใหญ่,Bangkok Yai,Krung Thon Nua
เขตห้วยขวาง,Huai Khwang,Central
เขตคลองสาน,Khlong San,Krung Thon Nua
เขตตลิ่งชัน,Taling Chan,Krung Thon Nua
เขตบางกอกน้อย,Bangkok Noi,Krung Thon Nua
เขตบางขุนเทียน,Bang Khun Thian,Krung Thon Tai
เขตภาษีเจริญ,Phasi Charoen,Krung Thon Tai
เขตหนองแขม,Nong Khaem,Krung Thon Tai
เขตราษฏร์บูรณะ,Rat Burana,Krung Thon Tai
เขตบางพลัด,Bang Phlat,Krung Thon Nua
เขตดินแดง,Din Daeng,Central
เขตบึงกุ่ม,Bueng Kum,Eastern
เขตสาทร,Sathon,Southern
เขตบางซื่อ,Bang Sue,Northern
เขตจตุจักร,Chatuchak,Northern
เขตบางคอแหลม,Bang Kho Laem,Southern
เขตประเวศ,Prawet,Eastern
เขตคลองเตย,Khlong Toei,Southern
เขตสวนหลวง,Suan Luang,Southern
เขตจอมทอง,Chom Thong,Krung Thon Tai
เขตดอนเมือง,Don Mueang,Northern
เขตราชเทวี,Ratchathewi,Central
เขตลาดพร้าว,Lat Phrao,Northern
เขตวัฒนา,Watthana,Southern
เขตบางแค,Bang Khae,Krung Thon Tai
เขตหลักสี่,Lak Si,Northern
เขตสายไหม,Sai Mai,Northern
เขตคันนายาว,Khan Na Yao,Eastern
เขตสะพานสูง,Saphan Sung,Eastern
เขตวังทองหลาง,Wang Thonglang,Central
เขตคลองสามวา,Khlong Sam Wa,Eastern
เขตบางนา,Bang Na,Southern
เขตทวีวัฒนา,Thawi Watthana,Krung Thon Nua
เขตทุ่งครุ,Thung Khru,Krung Thon Tai
เขตบางบอน,Bang Bon,Krung Thon Tai
